2021-12-19 21:49:33, INFO:MySwin:Epoch 1, Itrs 540/50000, decode.loss=1.541520 ;lr=0.000022
2021-12-19 21:49:39, INFO:MySwin:Epoch 1, Itrs 550/50000, decode.loss=1.591410 ;lr=0.000022
2021-12-19 21:49:44, INFO:MySwin:Epoch 1, Itrs 560/50000, decode.loss=1.443080 ;lr=0.000022
2021-12-19 21:49:49, INFO:MySwin:Epoch 1, Itrs 570/50000, decode.loss=1.543971 ;lr=0.000023
2021-12-19 21:49:55, INFO:MySwin:Epoch 1, Itrs 580/50000, decode.loss=1.656665 ;lr=0.000023
2021-12-19 21:50:00, INFO:MySwin:Epoch 1, Itrs 590/50000, decode.loss=1.872026 ;lr=0.000024
2021-12-19 21:50:05, INFO:MySwin:Epoch 1, Itrs 600/50000, decode.loss=1.570009 ;lr=0.000024
2021-12-19 21:50:11, INFO:MySwin:Epoch 1, Itrs 610/50000, decode.loss=1.202768 ;lr=0.000024
2021-12-19 21:50:16, INFO:MySwin:Epoch 1, Itrs 620/50000, decode.loss=1.889334 ;lr=0.000025
2021-12-19 21:50:22, INFO:MySwin:Epoch 1, Itrs 630/50000, decode.loss=1.732784 ;lr=0.000025
2021-12-19 21:50:27, INFO:MySwin:Epoch 1, Itrs 640/50000, decode.loss=1.659312 ;lr=0.000026
2021-12-19 21:50:33, INFO:MySwin:Epoch 1, Itrs 650/50000, decode.loss=1.501565 ;lr=0.000026
2021-12-19 21:50:38, INFO:MySwin:Epoch 1, Itrs 660/50000, decode.loss=1.995694 ;lr=0.000026
2021-12-19 21:50:43, INFO:MySwin:Epoch 1, Itrs 670/50000, decode.loss=2.345370 ;lr=0.000027
2021-12-19 21:50:49, INFO:MySwin:Epoch 1, Itrs 680/50000, decode.loss=1.564519 ;lr=0.000027
2021-12-19 21:50:54, INFO:MySwin:Epoch 1, Itrs 690/50000, decode.loss=1.397119 ;lr=0.000028
2021-12-19 21:50:59, INFO:MySwin:Epoch 1, Itrs 700/50000, decode.loss=1.462037 ;lr=0.000028
2021-12-19 21:51:04, INFO:MySwin:Epoch 1, Itrs 710/50000, decode.loss=1.273177 ;lr=0.000028
2021-12-19 21:51:10, INFO:MySwin:Epoch 1, Itrs 720/50000, decode.loss=1.532588 ;lr=0.000029
2021-12-19 21:51:15, INFO:MySwin:Epoch 1, Itrs 730/50000, decode.loss=1.386203 ;lr=0.000029
2021-12-19 21:51:21, INFO:MySwin:Epoch 1, Itrs 740/50000, decode.loss=1.401019 ;lr=0.000030
2021-12-19 21:51:26, INFO:MySwin:Epoch 1, Itrs 750/50000, decode.loss=1.948015 ;lr=0.000030
2021-12-19 21:51:31, INFO:MySwin:Epoch 1, Itrs 760/50000, decode.loss=1.312377 ;lr=0.000030
2021-12-19 21:51:37, INFO:MySwin:Epoch 1, Itrs 770/50000, decode.loss=1.406002 ;lr=0.000031
2021-12-19 21:51:42, INFO:MySwin:Epoch 1, Itrs 780/50000, decode.loss=1.702673 ;lr=0.000031
2021-12-19 21:51:48, INFO:MySwin:Epoch 1, Itrs 790/50000, decode.loss=1.289735 ;lr=0.000032
